"animalID","year","observed","tagsex","firstobsmolt","lastobsmolt","season","firstobsbreed","lastobsbreed","numbreed","firstobsbreeddoy","lastobsmoltdoy","breeddur","tripdur","moltdur","pupID","pupsex","yearborn","age","pupyearborn","firstyearindicator","indices","pupseeneveragain","puprecruited"
20,1986,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,3,"NA","NA",NA,NA,NA
24,1986,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,3,"NA","NA",NA,NA,NA
28,1987,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10290,"F",1983,4,"1987","1988",24,5,1
51,1989,"1","F",NA,NA,NA,NA,"1988-10-10",2,NA,115,NA,NA,33.9583333333333,NA,NA,1986,3,"NA","NA",NA,NA,NA
52,1989,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,3,"NA","NA",NA,NA,NA
52,1990,"B","F","1989-04-26","1989-05-22",1990,"1990-01-05","1990-02-09",22,5,142,35,228.041666666667,26,NA,NA,1986,4,"NA","NA",NA,NA,NA
52,1992,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,6,"NA","NA",NA,NA,NA
52,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,7,"NA","NA",NA,NA,NA
52,1994,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12585,"F",1986,8,"1994","1995",31,0,0
52,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,9,"NA","NA",NA,NA,NA
52,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14451,"M",1986,10,"1996","1997",33,0,0
59,1991,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,5,"NA","NA",NA,NA,NA
59,1992,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,6,"NA","NA",NA,NA,NA
59,1993,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,7,"NA","NA",NA,NA,NA
91,1992,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,6,"NA","NA",NA,NA,NA
